epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.201,4.56581,5.86277,4.17901,4e-05,0.00973,2e-05,0,3.24692,18.0131,2.91957,0.00199556,0.00199556,0.00199556
2,172.974,4.38557,5.43644,4.01645,0.35531,0.01617,0.00347,0.00077,2.90155,18.3572,2.70186,0.00397578,0.00397578,0.00397578
3,253.942,3.78816,3.95932,3.45351,0.46479,0.13712,0.06225,0.01911,2.41823,28.0772,2.39676,0.0059362,0.0059362,0.0059362
4,335.519,2.65572,2.81803,2.67194,0.31539,0.18821,0.17196,0.05465,3.66585,3.05392,2.34319,0.00787682,0.00787682,0.00787682
5,414.722,1.76826,1.4861,1.68882,0.59508,0.54219,0.57114,0.31278,2.06562,1.46659,1.41456,0.00979764,0.00979764,0.00979764
6,494.511,1.38861,0.97559,1.37167,0.83753,0.63372,0.71518,0.4285,1.55147,1.1807,1.28255,0.0097525,0.0097525,0.0097525
7,573.945,1.20278,0.78652,1.24875,0.93173,0.85849,0.9017,0.57704,1.27038,0.66529,1.09757,0.009703,0.009703,0.009703
8,653.245,1.10961,0.70648,1.19232,0.93697,0.8772,0.92017,0.61608,1.16525,0.60301,1.06919,0.0096535,0.0096535,0.0096535
9,732.811,1.04124,0.65767,1.15249,0.93735,0.88202,0.93319,0.63478,1.11817,0.57839,1.03906,0.009604,0.009604,0.009604
10,811.855,0.97888,0.6149,1.11802,0.9283,0.91064,0.94937,0.66461,1.05007,0.52421,1.00517,0.0095545,0.0095545,0.0095545
11,890.602,0.93855,0.58945,1.08411,0.9443,0.91674,0.95106,0.675,1.04179,0.51609,0.99942,0.009505,0.009505,0.009505
12,969.842,0.89791,0.56778,1.06587,0.94711,0.90993,0.95072,0.68246,1.01702,0.51586,0.98946,0.0094555,0.0094555,0.0094555
13,1049.37,0.86592,0.54756,1.04828,0.95434,0.91707,0.95702,0.6971,0.97371,0.48172,0.96529,0.009406,0.009406,0.009406
14,1128.29,0.83369,0.52668,1.03324,0.95319,0.92002,0.95567,0.71882,0.93477,0.4765,0.95871,0.0093565,0.0093565,0.0093565
15,1207.69,0.8191,0.51437,1.02549,0.96246,0.92478,0.96203,0.71429,0.94316,0.4588,0.95518,0.009307,0.009307,0.009307
16,1286.38,0.78688,0.49751,1.00766,0.94391,0.91944,0.96225,0.72754,0.9022,0.44126,0.94759,0.0092575,0.0092575,0.0092575
17,1365.69,0.77545,0.49055,1.00491,0.95684,0.92675,0.96085,0.72381,0.90134,0.44925,0.94206,0.009208,0.009208,0.009208
18,1445.13,0.75391,0.47687,0.99558,0.96114,0.92943,0.96374,0.7394,0.86637,0.43873,0.9307,0.0091585,0.0091585,0.0091585
19,1524.29,0.7389,0.47008,0.98595,0.96854,0.92662,0.96964,0.75183,0.82756,0.41551,0.92294,0.009109,0.009109,0.009109
20,1603.48,0.71567,0.45539,0.97445,0.96741,0.92558,0.97158,0.76857,0.80213,0.39827,0.90982,0.0090595,0.0090595,0.0090595
21,1682.29,0.69823,0.4491,0.96392,0.95684,0.93468,0.96837,0.75314,0.83397,0.4046,0.91579,0.00901,0.00901,0.00901
22,1761.91,0.68902,0.44482,0.96098,0.96389,0.94516,0.97242,0.76506,0.79385,0.39356,0.9093,0.0089605,0.0089605,0.0089605
23,1840.92,0.67614,0.4301,0.9603,0.96398,0.93935,0.97597,0.77562,0.79582,0.37841,0.90685,0.008911,0.008911,0.008911
24,1920.05,0.66331,0.42485,0.9484,0.97231,0.93182,0.97122,0.76952,0.78029,0.38176,0.90125,0.0088615,0.0088615,0.0088615
