epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.9598,3.3737,4.09937,3.52089,0.82112,0.35708,0.40343,0.19217,2.13276,15.1589,2.08063,0.00199556,0.00199556,0.00199556
2,195.856,1.77926,1.74605,1.95278,0.7679,0.7158,0.78259,0.422,1.67923,1.13713,1.37431,0.00397578,0.00397578,0.00397578
3,290.53,1.44186,1.17273,1.45491,0.88534,0.80178,0.86507,0.51309,1.4349,0.82666,1.20139,0.0059362,0.0059362,0.0059362
4,384.205,1.29122,0.95613,1.3157,0.92312,0.88256,0.91462,0.57072,1.30391,0.72688,1.11153,0.00787682,0.00787682,0.00787682
5,477.544,1.17716,0.80205,1.23042,0.92928,0.90094,0.93459,0.61045,1.19604,0.61986,1.07043,0.00979764,0.00979764,0.00979764
6,571.719,1.08968,0.7065,1.17931,0.92242,0.9082,0.9404,0.6196,1.15773,0.59157,1.04781,0.0097525,0.0097525,0.0097525
7,665.654,0.98999,0.63628,1.13005,0.95444,0.92034,0.9517,0.6688,1.02092,0.52056,1.00794,0.009703,0.009703,0.009703
8,759.394,0.92167,0.58815,1.08465,0.94995,0.92452,0.95559,0.68575,0.97833,0.51495,0.96302,0.0096535,0.0096535,0.0096535
9,853.064,0.85936,0.54657,1.05033,0.95654,0.93841,0.96703,0.72664,0.89863,0.44877,0.94799,0.009604,0.009604,0.009604
10,947.287,0.80031,0.51399,1.02037,0.95203,0.93993,0.96642,0.74341,0.84568,0.43278,0.92893,0.0095545,0.0095545,0.0095545
11,1041.64,0.77559,0.49307,1.00302,0.96362,0.92952,0.96896,0.73994,0.85038,0.41933,0.93296,0.009505,0.009505,0.009505
12,1136.05,0.74042,0.47866,0.98812,0.97424,0.93519,0.97153,0.75728,0.81448,0.4056,0.90759,0.0094555,0.0094555,0.0094555
13,1229.94,0.70858,0.45841,0.96837,0.96499,0.94168,0.969,0.76199,0.78979,0.38717,0.90493,0.009406,0.009406,0.009406
14,1324.04,0.67557,0.44005,0.95519,0.9736,0.92933,0.97005,0.77668,0.76674,0.38531,0.89745,0.0093565,0.0093565,0.0093565
15,1417.79,0.6561,0.42636,0.94621,0.96887,0.9466,0.97482,0.77922,0.76569,0.36946,0.8894,0.009307,0.009307,0.009307
16,1512.75,0.6328,0.41376,0.93431,0.97563,0.94081,0.97444,0.78632,0.72687,0.35813,0.88387,0.0092575,0.0092575,0.0092575
17,1606.66,0.62134,0.40668,0.93098,0.97885,0.94346,0.97595,0.79634,0.71179,0.34726,0.88284,0.009208,0.009208,0.009208
18,1700.6,0.61201,0.39728,0.92863,0.97447,0.94823,0.97716,0.8059,0.69746,0.34542,0.87679,0.0091585,0.0091585,0.0091585
19,1794.11,0.60115,0.38841,0.92378,0.98441,0.94303,0.97562,0.8034,0.69426,0.34211,0.87518,0.009109,0.009109,0.009109
