epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3264,4.52551,6.08656,4.20909,0.00024,0.04761,0.00014,4e-05,3.13216,17.8469,2.91779,0.00199556,0.00199556,0.00199556
2,171.345,3.94576,5.00057,3.94256,0.40085,0.07453,0.02598,0.00603,2.56133,20.2172,2.55354,0.00397578,0.00397578,0.00397578
3,251.403,2.80839,3.10768,2.89211,0.66983,0.22234,0.23074,0.09952,3.45375,13.7465,2.55551,0.0059362,0.0059362,0.0059362
4,330.766,1.96501,1.8225,1.91798,0.55645,0.27249,0.30243,0.17321,2.60024,2.50426,1.81306,0.00787682,0.00787682,0.00787682
5,409.844,1.53572,1.15908,1.47514,0.65757,0.69873,0.74129,0.41973,1.62473,1.23257,1.25217,0.00979764,0.00979764,0.00979764
6,488.672,1.32322,0.91099,1.31957,0.84369,0.67626,0.73275,0.44188,1.53741,1.01709,1.25949,0.0097525,0.0097525,0.0097525
7,567.104,1.18688,0.7628,1.2302,0.91236,0.85033,0.88924,0.56504,1.28661,0.66045,1.08792,0.009703,0.009703,0.009703
8,645.375,1.10498,0.68996,1.17987,0.91577,0.89003,0.91822,0.60536,1.19774,0.60346,1.05678,0.0096535,0.0096535,0.0096535
9,726.658,1.05063,0.64878,1.15154,0.9313,0.89984,0.93619,0.63905,1.12535,0.55705,1.03952,0.009604,0.009604,0.009604
10,807.031,0.99248,0.6148,1.12164,0.94029,0.9101,0.94314,0.65952,1.0538,0.52758,0.99938,0.0095545,0.0095545,0.0095545
11,887.019,0.94632,0.58929,1.08427,0.94365,0.86219,0.90763,0.62479,1.13015,0.60962,1.01997,0.009505,0.009505,0.009505
12,966.64,0.9021,0.56419,1.06585,0.95203,0.92482,0.95841,0.70125,0.9626,0.47428,0.96451,0.0094555,0.0094555,0.0094555
13,1047.53,0.86913,0.54457,1.04537,0.94565,0.89569,0.94816,0.6944,0.98438,0.48873,0.97446,0.009406,0.009406,0.009406
14,1127.6,0.84819,0.52461,1.03722,0.94562,0.92819,0.95664,0.71118,0.93838,0.46548,0.96166,0.0093565,0.0093565,0.0093565
15,1205.98,0.82155,0.5101,1.02477,0.95808,0.93037,0.96425,0.72928,0.90178,0.43719,0.94151,0.009307,0.009307,0.009307
16,1284.95,0.78239,0.49526,0.9999,0.94576,0.91531,0.95658,0.72873,0.87811,0.4475,0.93312,0.0092575,0.0092575,0.0092575
17,1364.41,0.76725,0.48583,0.99497,0.96436,0.92691,0.96554,0.74779,0.84696,0.42401,0.92488,0.009208,0.009208,0.009208
18,1443.52,0.7466,0.47145,0.988,0.97392,0.93019,0.96653,0.74678,0.84912,0.42248,0.92181,0.0091585,0.0091585,0.0091585
19,1522.06,0.73177,0.46299,0.98007,0.97282,0.93252,0.9673,0.75978,0.81971,0.41117,0.91092,0.009109,0.009109,0.009109
20,1600.48,0.70985,0.45056,0.9689,0.96736,0.92668,0.96877,0.76419,0.80713,0.39931,0.90858,0.0090595,0.0090595,0.0090595
21,1680.32,0.69609,0.44138,0.96032,0.96742,0.93798,0.96897,0.76246,0.79874,0.39446,0.91175,0.00901,0.00901,0.00901
22,1760.67,0.68755,0.44447,0.9582,0.96586,0.93656,0.97129,0.76479,0.7949,0.38844,0.90662,0.0089605,0.0089605,0.0089605
23,1841.94,0.67541,0.43097,0.95875,0.97666,0.92483,0.97545,0.77076,0.80176,0.38803,0.90364,0.008911,0.008911,0.008911
24,1921.79,0.66291,0.42497,0.9479,0.96702,0.93232,0.97409,0.776,0.77635,0.37784,0.89728,0.0088615,0.0088615,0.0088615
25,2002.26,0.65207,0.4175,0.9407,0.96492,0.93986,0.97672,0.78245,0.76801,0.36951,0.89383,0.008812,0.008812,0.008812
26,2082.51,0.65043,0.41586,0.94255,0.97547,0.94254,0.97624,0.7817,0.75364,0.37225,0.89065,0.0087625,0.0087625,0.0087625
27,2164.17,0.63781,0.41257,0.93975,0.96678,0.93951,0.97526,0.78514,0.75348,0.36067,0.89177,0.008713,0.008713,0.008713
28,2248.48,0.6404,0.40739,0.93511,0.97312,0.94745,0.97798,0.79249,0.74313,0.364,0.88924,0.0086635,0.0086635,0.0086635
29,2330.66,0.62939,0.40054,0.93,0.9742,0.94819,0.9764,0.78623,0.74876,0.36206,0.88761,0.008614,0.008614,0.008614
