epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7552,4.17909,5.4794,4.1878,2e-05,0.00295,1e-05,0,3.83587,9.99491,3.64887,0.000279449,0.000279449,0.000279449
2,20.9258,3.05372,3.23872,3.47595,3e-05,0.00295,2e-05,0,3.83824,10.1449,3.6877,0.000562451,0.000562451,0.000562451
3,30.9584,2.49473,2.54883,2.77688,7e-05,0.00435,0.0002,0.00011,3.63625,7.30492,3.58432,0.000842624,0.000842624,0.000842624
4,41.192,2.24284,2.0212,2.34319,0.48755,0.16001,0.11708,0.04091,3.02963,2.70979,2.73054,0.00111997,0.00111997,0.00111997
5,51.6056,2.06775,1.7545,2.04019,0.41301,0.34742,0.45565,0.21277,2.1873,1.53571,1.88003,0.00139448,0.00139448,0.00139448
6,61.8975,1.81413,1.50881,1.81798,0.6354,0.53243,0.59382,0.30005,1.9344,1.235,1.6929,0.00139363,0.00139363,0.00139363
7,72.8768,1.69621,1.3394,1.70237,0.81622,0.69109,0.77129,0.39549,1.71502,1.17254,1.5734,0.00138656,0.00138656,0.00138656
8,83.9517,1.57446,1.19686,1.60045,0.7101,0.74999,0.76965,0.37517,1.76657,1.09497,1.56963,0.00137949,0.00137949,0.00137949
9,94.7333,1.4808,1.12367,1.53337,0.84438,0.7533,0.84009,0.45796,1.56689,0.99808,1.44972,0.00137241,0.00137241,0.00137241
10,105.791,1.44074,1.09975,1.48003,0.77911,0.71718,0.72567,0.3821,1.73082,1.14356,1.45049,0.00136534,0.00136534,0.00136534
11,116.188,1.3264,0.98021,1.4003,0.86741,0.70707,0.83868,0.46795,1.49974,1.00153,1.38232,0.00135826,0.00135826,0.00135826
12,126.693,1.21139,0.89964,1.31328,0.88036,0.83636,0.88196,0.55076,1.25302,0.82059,1.2692,0.00135119,0.00135119,0.00135119
13,137.124,1.25562,0.88558,1.32458,0.89176,0.8098,0.85094,0.48434,1.47294,0.89409,1.35686,0.00134412,0.00134412,0.00134412
14,147.842,1.16906,0.83296,1.28859,0.92525,0.8516,0.91153,0.58995,1.13927,0.71708,1.20361,0.00133704,0.00133704,0.00133704
15,158.26,1.12728,0.79291,1.25146,0.88145,0.87508,0.90924,0.58964,1.16653,0.75886,1.20716,0.00132997,0.00132997,0.00132997
16,168.87,1.08875,0.75889,1.20709,0.92816,0.88476,0.92218,0.59323,1.13414,0.68141,1.16206,0.0013229,0.0013229,0.0013229
17,179.258,1.06473,0.74903,1.18634,0.91145,0.87437,0.92701,0.60448,1.15602,0.69415,1.17396,0.00131582,0.00131582,0.00131582
18,189.518,1.02073,0.74213,1.17582,0.94466,0.89899,0.93322,0.62974,1.07602,0.63033,1.13855,0.00130875,0.00130875,0.00130875
19,199.693,1.05777,0.73694,1.18662,0.90924,0.89683,0.93453,0.63186,1.08851,0.67069,1.15339,0.00130168,0.00130168,0.00130168
20,209.826,0.95518,0.68293,1.14268,0.94498,0.90211,0.93363,0.62699,1.05184,0.61476,1.09798,0.0012946,0.0012946,0.0012946
21,220.126,0.95817,0.66428,1.11382,0.9415,0.89177,0.93342,0.63101,1.08606,0.63442,1.10712,0.00128753,0.00128753,0.00128753
22,230.42,0.94356,0.64806,1.11262,0.92849,0.86091,0.93297,0.639,1.02892,0.63502,1.08166,0.00128046,0.00128046,0.00128046
23,240.983,0.91221,0.62778,1.09391,0.91465,0.90247,0.93236,0.65656,0.99327,0.58561,1.03341,0.00127338,0.00127338,0.00127338
24,252.129,0.91123,0.62367,1.09168,0.95049,0.89564,0.92207,0.63987,0.98436,0.57003,1.04629,0.00126631,0.00126631,0.00126631
25,262.748,0.852,0.59424,1.06155,0.95665,0.91729,0.93408,0.64412,0.99697,0.57382,1.04637,0.00125923,0.00125923,0.00125923
26,273.276,0.8473,0.59352,1.06687,0.93868,0.92208,0.94314,0.67476,0.92953,0.54246,1.03299,0.00125216,0.00125216,0.00125216
27,283.959,0.81181,0.56051,1.03903,0.95233,0.91936,0.94386,0.68037,0.9359,0.53018,1.03247,0.00124509,0.00124509,0.00124509
